name,status,species,type,gender
Michael Thompson,Alive,Humanoid,Conjoined twin,Male
Million Ants,Dead,Animal,Sentient ant colony,Male
Mitch,Alive,Human,,Male
Mohawk Guy,Dead,Human,,Male
Morty Mart Manager Morty,Alive,Human,,Male
Morty Jr.,Alive,Humanoid,Human Gazorpian,Male
Morty Rick,unknown,Human,,Male
Morty Smith,Alive,Human,,Male
Morty K-22,Alive,Human,,Male
Morty Smith,Dead,Human,,Male
Mortytown Loco,Dead,Human,,Male
Mr. Beauregard,Dead,Alien,Parasite,Male
Mr. Benson,Alive,Human,,Male
Mr. Booby Buyer,Alive,Mythological Creature,Boobie buyer reptilian,Male
Mr. Goldenfold,Alive,Cronenberg,,Male
Mr. Goldenfold,Alive,Human,,Male
Mr. Marklovitz,Alive,Human,,Male
Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male
Mr. Needful,Alive,Humanoid,The Devil,Male
Mr. Poopybutthole,Alive,Poopybutthole,,Male
Mrs. Lipkip,Alive,Human,,Female
Mrs. Pancakes,Alive,Human,,Female
Amy Poopybutthole,Alive,Poopybutthole,,Female
Mrs. Refrigerator,Dead,Alien,Parasite,Female
Mrs. Sanchez,unknown,Human,,Female
Mrs. Sullivan,Dead,Human,Cat controlled dead lady,Female
Nancy,Alive,Human,,Female
Noob-Noob,Alive,Poopybutthole,,Male
Numbericon,unknown,Alien,Numbericon,unknown
Octopus Man,Alive,Humanoid,Octopus-Person,Male
Orthodox Jew,Alive,Human,,Male
Pat Gueterman,Dead,Robot,,Male
Paul Fleishman,Alive,Human,,Male
Pawnshop Clerk,Alive,Alien,,Male
Pencilvester,Dead,Alien,Parasite,Male
Phillip Jacobs,Alive,Human,,Male
Photography Cyborg,unknown,Robot,,Male
Photography Raptor,Dead,Alien,Parasite,unknown
Pibbles Bodyguard,Alive,Alien,Hairy alien,Male
Pichael Thompson,Alive,Humanoid,Conjoined twin,Male
Pickle Rick,Alive,unknown,Pickle,Male
Piece of Toast,Alive,unknown,Bread,Genderless
Plumber Rick,Alive,Human,,Male
Poncho,Dead,Human,,Male
Presidentress of The Mega Gargantuans,Alive,Humanoid,Mega Gargantuan,Female
Prince Nebulon,Dead,Alien,Zigerion,Male
Principal Vagina,Alive,Cronenberg,,Male
Principal Vagina,Alive,Human,,Male
Purge Planet Ruler,Dead,Alien,Cat-Person,Male
Quantum Rick,unknown,Human,,Male
Randy Dicknose,Alive,Human,,Male
Rat Boss,Dead,Animal,Rat,unknown
Real Fake Doors Salesman,Alive,Human,,Male
Regional Manager Rick,Dead,Human,,Male
Regular Legs,Alive,Human,,Male
Reverse Giraffe,Dead,Alien,Parasite,Male
Reverse Rick Outrage,Dead,Human,,Male
Revolio Clockberg Jr.,unknown,Alien,Gear-Person,Male
Rick D. Sanchez III,Dead,Human,,Male
Rick Guilt Rick,unknown,Human,,Male
Rick Prime,Dead,Human,,Male
Rick D-99,Dead,Human,,Male
Rick D716,Dead,Human,,Male
Rick D716-B,Alive,Human,,Male
Rick D716-C,Alive,Human,,Male
Rick Sanchez,Dead,Human,,Male
Rick J-22,Alive,Human,,Male
Rick K-22,Alive,Human,,Male
Rick Sanchez,Dead,Human,,Male
Ricktiminus Sancheziminius,Dead,Human,,Male
Riq IV,Dead,Human,,Male
Risotto Groupon,Dead,Alien,Blue ape alien,Male
Risotto's Tentacled Henchman,Dead,Alien,Tentacle alien,Male
Robot Morty,unknown,Robot,,Male
Robot Rick,unknown,Robot,,Male
Roger,Dead,Human,,Male
Ron Benson,Alive,Alien,Ring-nippled alien,Male
Ruben,Dead,Human,,Male
Samantha,Alive,Human,,Female
Scary Brandon,Alive,Mythological Creature,Monster,Male
Scary Glenn,Alive,Mythological Creature,Monster,Male
Scary Terry,Alive,Mythological Creature,Monster,Male
Scroopy Noopers,Alive,Alien,Plutonian,Male
Scropon,unknown,Alien,Lobster-Alien,Male
Scrotian,Alive,Animal,Scrotian,Male
Self-Congratulatory Jerry,unknown,Mythological Creature,Mytholog,Male
Shimshamian,Alive,Alien,Shimshamian,Male
Shlaammi,Alive,Alien,,unknown
Shleemypants,Alive,unknown,Omniscient being,Male
Shmlamantha Shmlicelli,Alive,Human,,Female
Shmlangela Shmlobinson-Shmlower,Alive,Human,,Female
Shmlona Shmlobinson,Alive,Human,,Female
Shmlonathan Shmlower,Alive,Human,,Male
Shmlony Shmlicelli,Alive,Human,,Male
Shmooglite Runner,unknown,Alien,Animal,Male
Shnoopy Bloopers,unknown,Alien,,Male
Shrimply Pibbles,Alive,Alien,,Male
Simple Rick,Dead,Human,,Male
Slaveowner,Dead,Human,,Male
Sleepy Gary,Dead,Alien,Parasite,Male
Slick Morty,Dead,Human,,Male
Slippery Stair,Alive,Mythological Creature,Slug,Male
Slow Mobius,Alive,Humanoid,,Male
Slow Rick,Alive,Human,,Male
Snuffles (Snowball),Alive,Animal,Dog,Male
Solicitor Rick,unknown,Human,,Male
Squanchy,unknown,Alien,Cat-Person,Male
Stacy,Alive,Human,,Female
Stair Goblin,Alive,Mythological Creature,Stair goblin,Genderless
Stealy,Alive,Poopybutthole,,Male
Steve,Alive,Human,,Male
Steven Phillips,Alive,Alien,Unknown-nippled alien,Male
Stu,Dead,Alien,Zigerion,Male
Summer Smith,Alive,Human,,Female
Summer Smith,Alive,Human,,Female
Supernova,Alive,Human,Superhuman,Female
Taddy Mason,Alive,Human,,Male
Taint Washer,Alive,Human,,Male
Tammy Guetermann,Alive,Cronenberg,,Female
Tammy Guetermann,Dead,Human,,Female
Teacher Rick,Alive,Human,,Male
Terry,unknown,Human,,Male
President Curtis,Alive,Human,,Male
The President of the Miniverse,Dead,Humanoid,Miniverse inhabitant,Male
The Scientist Formerly Known as Rick,Dead,Human,,Male
Thomas Lipkip,unknown,Human,,Male
Three Unknown Things,Alive,Alien,,unknown
Tinkles,Dead,Alien,Parasite,Female
Tiny Rick,Dead,Human,Clone,Male
Toby Matthews,Alive,Human,,Male
Todd Crystal,Alive,Alien,Unknown-nippled alien,Male
Tom Randolph,Alive,Human,,Male
Tommy's Clone,Alive,Human,Clone,Male
Tophat Jones,Dead,Mythological Creature,Leprechaun,Male
Tortured Morty,unknown,Human,,Male
Toxic Morty,Dead,Humanoid,Morty's toxic side,Male
Toxic Rick,Dead,Humanoid,Rick's toxic side,Male
Traflorkian,Alive,Alien,Traflorkian,unknown
Trandor,Alive,Alien,Krootabulan,Male
Tree Person,Dead,Humanoid,Teenyverse inhabitant,unknown
Tricia Lange,Alive,Human,,Female
Trunk Morty,Alive,Humanoid,Trunk-Person,Male
Trunk Man,Alive,Humanoid,Trunk-Person,Male
Truth Tortoise,unknown,Mythological Creature,Omniscient being,Male
Tusked Assassin,unknown,Alien,Tuskfish,Male
Two Guys with Handlebar Mustaches,Alive,Human,,Male
Tumblorkian,Alive,Alien,Tumblorkian,Male
Unity,Alive,Alien,Hivemind,Genderless
Unmuscular Michael,Alive,Human,,Male
Vampire Master,Alive,Mythological Creature,Vampire,Male
Vance Maximus,Dead,Human,,Male
Veronica Ann Bennet,Alive,Alien,Gazorpian,Female
Voltematron,Dead,Alien,Parasite,unknown
Wall Crawling Rick,unknown,Humanoid,Lizard-Person,Male
Wedding Bartender,unknown,Alien,,Male
Unknown Rick,unknown,Human,,Male
Woman Rick,Alive,Alien,Chair,Female
Worldender,Dead,Alien,,Male
Yaarb,Alive,Alien,,Male
Yellow Headed Doctor,Alive,Alien,,Male
Yellow Shirt Rick,unknown,Human,,Male
Zarbadar Gloonch,Dead,Alien,Drumbloxian,Female
Zarbadar's Mytholog,unknown,Mythological Creature,Mytholog,Female
Zeep Xanflorp,Alive,Humanoid,Microverse inhabitant,Male
Zeta Alpha Rick,Dead,Human,,Male
Zick Zack,Dead,Alien,Floop Floopian,Male
Uncle Steve,Dead,Alien,Parasite,Male
Bearded Morty,Alive,Human,,Male
Roy,Alive,Human,Game,Male
Davin,Dead,Cronenberg,,Male
Greebybobe,Alive,Alien,Greebybobe,unknown
Scary Teacher,Alive,Mythological Creature,Monster,Male
Fido,Alive,Animal,Dog,Male
Accountant dog,Alive,Animal,Dog,Male
Tiny-persons advocacy group lawyer,Alive,Mythological Creature,Giant,Male
Giant Judge,Alive,Mythological Creature,Giant,Male
Morty Jr's interviewer,Alive,Human,,Male
Guy from The Bachelor,Alive,Human,,Male
Corn detective,Dead,Humanoid,Corn-person,Male
Michael Jackson,Alive,Humanoid,Phone-Person,Male
Trunkphobic suspenders guy,Alive,Human,,Male
Spiderweb teddy bear,Alive,Animal,Teddy Bear,unknown
Regular Tyrion Lannister,Alive,Human,,Male
Quick Mystery Presenter,Alive,Human,,Male
Mr. Sneezy,Alive,Human,Little Human,Male
Two Brothers,Alive,Human,,Male
Alien Mexican Armada,unknown,Alien,Mexican,Male
Giant Cat Monster,unknown,Animal,Giant Cat Monster,unknown
Old Women,unknown,Human,Old Amazons,Female
Trunkphobic guy,Alive,Human,,Male
Pro trunk people marriage guy,Alive,Human,,Male
Muscular Mannie,Alive,Human,Mannie,Male
Baby Legs Chief,Alive,Human,,Male
Mrs. Sullivan's Boyfriend,Alive,Human,Necrophiliac,Male
Plutonian Hostess,Alive,Alien,Plutonian,Female
Plutonian Host,Alive,Alien,Plutonian,Male
Rich Plutonian,Alive,Alien,Plutonian,Female
Rich Plutonian,Alive,Alien,Plutonian,Male
Synthetic Laser Eels,Alive,Animal,Eel,unknown
Pizza-person,Alive,Humanoid,Pizza,Male
Pizza-person,Alive,Humanoid,Pizza,Male
Greasy Grandma,Alive,Human,Grandma,Female
Phone-person,Alive,Humanoid,Phone,Male
Phone-person,Alive,Humanoid,Phone,Male
Chair-person,Alive,Humanoid,Chair,Male
Chair-person,Alive,Humanoid,Chair,Male
Chair-homeless,Alive,Humanoid,Chair,Male
Chair-waiter,Alive,Humanoid,Chair,Male
Doopidoo,Alive,Animal,Doopidoo,unknown
Super Weird Rick,unknown,Human,,Male
Pripudlian,Alive,Alien,Pripudlian,unknown
Giant Testicle Monster,Alive,Alien,,unknown
Michael,Alive,Human,,Male
Michael's Lawyer,Alive,Human,,Male
Veterinary,Alive,Human,,Female
Veterinary Nurse,Alive,Human,,Male
Bearded Jerry,Alive,Human,,Male
Shaved Head Jerry,Alive,Human,,Male
Tank Top Jerry,Alive,Human,,Male
Pink Polo Shirt Jerry,Alive,Human,,Male
Jerryboree Keeper,Alive,Alien,,Female
Jerryboree Receptionist,Alive,Alien,,Male
Anchor Gear,Alive,Alien,Gear-Person,Male
Gear Cop,Dead,Alien,Gear-Person,Male
Roy's Mum,Alive,Human,Game,Female
Roy's Wife,Alive,Human,Game,Male
Roy's Son,Alive,Human,Game,Male
Simon,Alive,Human,,Male
Vampire Master's Assistant,Alive,Mythological Creature,Vampire,Male
Arbolian Mentirososian,Alive,Alien,,unknown
St. Gloopy Noops Nurse,Alive,Alien,,Female
Nano Doctor,Alive,Alien,Nano Alien,Male
Funny Songs Presenter,Alive,Human,,Male
Tax Attorney,unknown,Human,,Male
Butthole Ice Cream Guy,Alive,Alien,,Male
Traflorkian Journalist,Alive,Alien,Traflorkian,Male
Communication's Responsible Rick,Dead,Human,,Male
Teleportation's Responsible Rick,unknown,Human,,Male
SEAL Team Rick,Dead,Human,,Male
SEAL Team Rick,Dead,Human,,Male
SEAL Team Rick,Dead,Human,,Male
SEAL Team Rick,Dead,Human,,Male
Morphizer-XE Customer Support,Alive,Alien,,Male
Morphizer-XE Customer Support,Alive,Alien,,Male
Morphizer-XE Customer Support,unknown,Alien,,Male
Alien Spa Employee,Alive,Alien,,Male
Little Voltron,Alive,Robot,,Genderless
Baby Rick,Alive,Human,Clone,Male
Bartender Morty,Alive,Human,,Male
Dancer Cowboy Morty,Alive,Human,,Male
Dancer Morty,Alive,Human,,Male
Flower Morty,Alive,Human,Human with a flower in his head,Male
Hairdresser Rick,Alive,Human,,Male
Journalist Rick,Alive,Human,,Male
Private Sector Rick,Dead,Human,,Male
Purple Morty,Alive,Alien,,Male
Retired General Rick,unknown,Human,,Male
Secret Service Rick,Alive,Human,,Male
Steve Jobs Rick,Alive,Human,,Male
Sheik Rick,Dead,Human,,Male
Modern Rick,Alive,Human,,Male
Tan Rick,Dead,Human,,Male
Visor Rick,Dead,Human,,Male
Colonial Rick,Dead,Human,,Male
P-Coat Rick,Dead,Human,,Male
Chang,Alive,Human,,Male
Dr. Eleanor Arroway,Alive,Human,,Female
Varrix,Alive,Alien,,unknown
Secretary of the Interior,Alive,Human,,Male
Crystal Poacher,Dead,Alien,,Male
Crystal Poacher,Dead,Alien,,Male
Crystal Poacher,Dead,Alien,,Male
Hologram Rick,Dead,Humanoid,Hologram,Male
Fascist Rick,Dead,Human,,Male
Fascist Morty,Dead,Human,,Male
Fascist Mr. President,Alive,Human,,Male
Fascist Rick’s Clone,Dead,Human,Clone,Male
Revolio Clockberg Jr.,Dead,Alien,Gear-Person,Male
Fascist Shrimp Rick,Alive,Animal,Shrimp,Male
Fascist Shrimp Rick’s Clone,Dead,Animal,Shrimp,Male
Fascist Shrimp Morty,Alive,Animal,Shrimp,Male
Fascist Shrimp SS,Alive,Animal,Shrimp,Male
Fascist Teddy Bear Rick,Alive,Animal,Teddy Bear,Male
Fascist Teddy Bear Rick’s Clone,Dead,Animal,Teddy Bear,Male
Bully,unknown,Human,,Male
Anchorman,Alive,Human,,Male
Anchorwoman,Alive,Human,,Female
Morty’s Lawyer,Alive,Human,,Male
Judge,Dead,Human,,Female
Public Opinion Judge,Alive,Human,,Female
Caterpillar Mr. Goldenfold,Dead,Animal,Caterpillar,Male
Wasp Rick,Alive,Animal,Wasp,Male
Wasp Rick’s Clone,unknown,Animal,Wasp,Male
Wasp Morty,Alive,Animal,Wasp,Male
Wasp Summer,Alive,Animal,Wasp,Female
Wasp Jerry,Alive,Animal,Wasp,Male
Wasp Beth,Alive,Animal,Wasp,Female
Caterpillar Mr. Goldenfold’s Larvae,Dead,Animal,Caterpillar,unknown
Boglin,unknown,unknown,Toy,unknown
Kirkland Brand Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male
Glootie,Alive,Alien,Monogatron,Male
Danny Publitz,Alive,Human,,Male
Mothership Intern,Alive,Alien,Monogatron,Male
Monogatron Leader,Alive,Alien,Monogatron,Male
Lizard,Dead,Alien,Lizard,Male
Deliverance,Dead,Robot,,Genderless
Tony,Dead,Alien,,Male
Tony’s Wife,Dead,Alien,,Female
Monogatron Queen,Alive,Alien,Monogatron,Female
Tony's Dad,Alive,Alien,,Male
Jeff,Alive,Human,,Male
Josiah,Alive,Human,,Male
Maggie,Alive,Human,,Female
Priest Witherspoon,Alive,Human,,Male
Richard,Alive,Human,,Male
Running Bird,Alive,Human,,Male
Secretary at Tony's,Alive,Alien,,Female
Mountain Sweat Jerry,Alive,Human,,Male
Vermigurber,Alive,Alien,Fly,Male
Miles Knightly,Dead,Alien,,Male
Heist-Con Receptionist,Alive,Alien,,Female
Angie Flint,Alive,Human,Cyborg,Female
Glar,Alive,Alien,,Male
Truckula,Alive,Mythological Creature,Vampire,Male
Snake Arms,Alive,Alien,,Male
Double Microwawe,Alive,Humanoid,Cyborg,Male
Monitor Lord,Alive,Alien,,Male
Key Catcher,Alive,Alien,,Female
The Shapeshiftress,Alive,Alien,Shapeshifter,Female
Heistotron,Dead,Robot,,Genderless
Randotron,Dead,Robot,,Genderless
Hephaestus,Alive,Mythological Creature,God,Male
Ventriloquiver,Alive,Humanoid,Dummy,Female
Elon Tusk,Alive,Human,Human with tusks,Male
Gramuflackian Anchorman,Dead,Alien,Gramuflackian,Male
Gramuflackian General,Dead,Alien,Gramuflackian,Male
Netflix Executive,Alive,Human,,Male
Balthromaw,Alive,Mythological Creature,Dragon,Male
The Wizard,Dead,Human,,Male
Talking Cat,Alive,Animal,,Male
Debrah,Alive,Mythological Creature,Dragon,Male
Debrah’s Partner,Alive,Mythological Creature,Dragon,Male
Michael,Alive,Mythological Creature,Dragon,Male
Slut Dragon,Alive,Mythological Creature,Dragon,Male
Shadow Jacker,Alive,Mythological Creature,Dragon,Male
Chachi,Dead,Alien,,Male
Slippy,Alive,Animal,Snake,Female
Robot Snake,unknown,Robot,Snake,Genderless
Snake Hitler,Dead,Animal,Snake,Male
Snake Lincoln,Dead,Animal,Snake,Male
Snake Resistance Robot,Dead,Robot,Human-Snake hybrid,Genderless
Snake Linguist,unknown,Animal,Snake,Male
Snake Terminator,unknown,Robot,Snake,Male
Snake Soldier,Alive,Animal,Snake,Male
Snake with Legs,Alive,Animal,Snake,Male
Secret Service Snake,Alive,Animal,Snake,Male
Anchosnake,Alive,Animal,Snake,Male
Anchosnake,Alive,Animal,Snake,Female
80's snake,unknown,Animal,Snake,Male
Bar Customer,Alive,Human,,Male
Bartender,Alive,Human,,Female
PC Basketball Player,Alive,Human,,Male
Cavesnake,Dead,Animal,Snake,Male
Pet Shop Employee,Alive,Human,,Male
Snake Reporter,Alive,Animal,Snake,Male
High Pilot,unknown,Human,,Male
High Pilot,unknown,Human,,Male
Phoenixperson,Dead,Alien,Cyborg,Male
Tickets Please Guy,Dead,Human,Soulless Puppet,Male
Floaty Bloody Man,Dead,Human,Half Soulless Puppet,Male
Floaty Non-Gasm Brotherhood Member,Dead,Alien,Soulless Puppet,Male
Floaty Non-Gasm Brotherhood Member Friend,Dead,Alien,Soulless Puppet,Female
Abradolf Lincler,Alive,Human,Soulless Puppet,Male
Biblesaurus,Alive,Animal,Soulless Puppet,Male
Birdperson,Alive,Alien,Soulless Puppet,Male
Cats Fan,Alive,Alien,Soulless Puppet,Female
Christmas Storyteller,Alive,Alien,Soulless Puppet,Male
Cookies Guy,Alive,Human,Soulless Puppet,Male
Crossy,Alive,unknown,Soulless Puppet,Genderless
Female Scorpion,Dead,Animal,Soulless Puppet,Female
Floaty Bloody Man’s Daughter,Dead,Human,Soulless Puppet,Female
